دسته,شاخص,کد World Bank,کد Data360,واحد,سال,مقدار,سال مقایسه قبلی,تغییر نسبت به مقدار قبلی,تغییر نسبت به مقدار قبلی %
درآمد و فقر,فقر زیر ۲.۱۵$/روز (%),SI.POV.DDAY,WB_WDI_SI_POV_DDAY,PT_POP,2021,,,,
درآمد و فقر,فقر زیر ۲.۱۵$/روز (%),SI.POV.DDAY,WB_WDI_SI_POV_DDAY,PT_POP,2022,,,,
درآمد و فقر,فقر زیر ۲.۱۵$/روز (%),SI.POV.DDAY,WB_WDI_SI_POV_DDAY,PT_POP,2023,,,,
درآمد و فقر,فقر زیر ۲.۱۵$/روز (%),SI.POV.DDAY,WB_WDI_SI_POV_DDAY,PT_POP,2024,23.0,2018.0,6.5,39.39393939393939
درآمد و فقر,فقر زیر ۲.۱۵$/روز (%),SI.POV.DDAY,WB_WDI_SI_POV_DDAY,PT_POP,2025,,,,
درآمد و فقر,فقر زیر ۲.۱۵$/روز (%),SI.POV.DDAY,WB_WDI_SI_POV_DDAY,PT_POP,2026,,,,
درآمد و فقر,فقر زیر ۳.۶۵$/روز (%),SI.POV.LMIC,WB_WDI_SI_POV_LMIC,PT_POP,2010,57.2,,,
درآمد و فقر,فقر زیر ۳.۶۵$/روز (%),SI.POV.LMIC,WB_WDI_SI_POV_LMIC,PT_POP,2011,55.9,2010.0,-1.3000000000000043,-2.27272727272728
درآمد و فقر,فقر زیر ۳.۶۵$/روز (%),SI.POV.LMIC,WB_WDI_SI_POV_LMIC,PT_POP,2012,,,,
درآمد و فقر,فقر زیر ۳.۶۵$/روز (%),SI.POV.LMIC,WB_WDI_SI_POV_LMIC,PT_POP,2013,49.3,2011.0,-6.600000000000001,-11.806797853309483
درآمد و فقر,فقر زیر ۳.۶۵$/روز (%),SI.POV.LMIC,WB_WDI_SI_POV_LMIC,PT_POP,2014,,,,
درآمد و فقر,فقر زیر ۳.۶۵$/روز (%),SI.POV.LMIC,WB_WDI_SI_POV_LMIC,PT_POP,2015,44.8,2013.0,-4.5,-9.127789046653144
درآمد و فقر,فقر زیر ۳.۶۵$/روز (%),SI.POV.LMIC,WB_WDI_SI_POV_LMIC,PT_POP,2016,,,,
درآمد و فقر,فقر زیر ۳.۶۵$/روز (%),SI.POV.LMIC,WB_WDI_SI_POV_LMIC,PT_POP,2017,,,,
درآمد و فقر,فقر زیر ۳.۶۵$/روز (%),SI.POV.LMIC,WB_WDI_SI_POV_LMIC,PT_POP,2018,44.7,2015.0,-0.09999999999999432,-0.22321428571427304
درآمد و فقر,فقر زیر ۳.۶۵$/روز (%),SI.POV.LMIC,WB_WDI_SI_POV_LMIC,PT_POP,2019,,,,
درآمد و فقر,فقر زیر ۳.۶۵$/روز (%),SI.POV.LMIC,WB_WDI_SI_POV_LMIC,PT_POP,2020,,,,
درآمد و فقر,فقر زیر ۳.۶۵$/روز (%),SI.POV.LMIC,WB_WDI_SI_POV_LMIC,PT_POP,2021,,,,
درآمد و فقر,فقر زیر ۳.۶۵$/روز (%),SI.POV.LMIC,WB_WDI_SI_POV_LMIC,PT_POP,2022,,,,
درآمد و فقر,فقر زیر ۳.۶۵$/روز (%),SI.POV.LMIC,WB_WDI_SI_POV_LMIC,PT_POP,2023,,,,
درآمد و فقر,فقر زیر ۳.۶۵$/روز (%),SI.POV.LMIC,WB_WDI_SI_POV_LMIC,PT_POP,2024,47.9,2018.0,3.1999999999999957,7.158836689038021
درآمد و فقر,فقر زیر ۳.۶۵$/روز (%),SI.POV.LMIC,WB_WDI_SI_POV_LMIC,PT_POP,2025,,,,
درآمد و فقر,فقر زیر ۳.۶۵$/روز (%),SI.POV.LMIC,WB_WDI_SI_POV_LMIC,PT_POP,2026,,,,
درآمد و فقر,فقر زیر ۶.۸۵$/روز (%),SI.POV.UMIC,WB_WDI_SI_POV_UMIC,PT_POP,2010,92.7,,,
