Sectors,Sub-Sectors-Level1,Sub-Sectors-Level2,1965-66,1966-67,1967-68,1968-69,1969-70,1970-71,1971-72,1972-73,1973-74,1974-75,1975-76,1976-77,1977-78,1978-79,1979-80,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26
,Motor Car (in 000 Nos.),,,42.3,44.4,52.8,57.2,59.2,63.9,67,55.9,62.2,70.1,81.6,95.6,109.4,148.3,154.2,182.9,202,230.8,268.9,298,323.1,350.2,395.7,427.7,427.7,429.1,465.8,493.7,516.8,538.4,564.5,593,731.3,815.7,928,1040,1109.6,1193.1,1264.7,1499.2,1682.2,1853.4,2029.1,2387.2,2822.2,3104.4,3600,4600,4820,6131.7,6954,7183.5,7470.8,3960.2,4141.9,4400.5,4567.3,4652.2,4852.6,
,M. Cab/Taxi (in 000 Nos.),,,5.7,5.7,5.9,6.3,6.9,7.7,8.5,7.8,8.6,11,11.7,12.6,14.1,16.9,17.7,15.5,16.7,19,21.2,22.2,23.4,24.9,28.4,30.9,30.9,33.5,40,44.5,47.9,51.4,54.1,57.3,68.5,69.8,79.8,96.4,104.1,112.6,120.32,122.1,119.1,129.8,138.6,146.4,154.6,170,160.7,168.8,178,186.5,197.4,197.7,205.6,116.1,116.5,116.6,116.8,117.3,118,
,Motor Rickshaw (in 000 Nos.),,,10.7,10.9,11.1,11.7,12.9,14.5,16,14.6,16.2,18.6,20,22.9,26.4,32,33.7,34.6,36.2,37.2,37.7,38.4,38.8,39.4,40.2,41.3,41.3,42.4,46.7,50.5,53.4,58.7,65.6,74.6,56.7,59.9,72.4,80.8,80.9,81,81.5,77.8,79,89.3,88.4,89.1,89.8,98.8,120.5,108,112,118.1,122,128.1,133.2,721.3,759.5,788.1,811.3,829.7,871.2,
,D.Van (in 000 Nos.),,,1.1,1.1,1,1.2,1.2,1.3,1.2,1.1,1.4,1.8,2.6,3.7,5.3,8.5,10,11.9,13.3,30.4,35.1,38.3,41.7,46.2,52.9,57.6,57.6,61.4,69.8,74,78.2,81.3,84.3,87.6,51.7,55.5,72.4,116.9,120.3,121.3,121.9,143.3,148.9,163.5,167.2,170.4,173.6,191,180,181,190,191.4,204.2,210.1,218.5,139.9,151.7,168.7,181.2,187.2,206.9,
,Pickup (in 000 Nos.),,,,,,,,,,,,,,,,,,,,,,,,,,,,30.2,39.5,44.1,47.1,50.5,50.2,56.1,56.4,61.6,68.4,78.3,80.6,84.4,87.6,93.5,104.6,115.3,125.5,130.3,135.3,148.8,150.2,150,158,166.3,176.4,187.2,194.7,513.5,527.4,543.1,550.7,554.4,566.1,
,Jeep (in 000 Nos.),,,6.4,6.7,7.9,8.6,8.9,9.6,10.1,8.3,10,11.6,13.4,15.7,17.8,16.9,16.7,14.1,15.4,17.2,19.8,20.7,23.1,25.9,28.2,30.8,30.8,31.6,35.6,38,41.3,43.5,45.5,47.8,16.7,17,18.3,43.4,44.4,47.8,51.8,65.7,85.4,82.9,79,78.3,78.5,86.4,78.7,60,64,54.2,69.6,80,83.2,150.9,175.7,214.9,240.6,253.3,293.4,
,Station Wagon (in 000 Nos.),,,4.3,4.5,5.4,5.8,6,6.5,6.8,5.6,6,6.8,7.8,9,11.2,15.4,15.8,21.7,25.7,32.5,39.1,46.5,52.1,59.2,64.2,69.3,69.3,43.6,48.8,52.7,56,29.1,62,65,60.6,73.9,93.8,122.7,126.4,132.4,140.5,140.8,169.1,163.2,155.6,171.4,175.2,192.7,180.1,185,191,192,201.9,206.6,214.9,903.4,90.5,90.7,90.9,91.7,92.3,
Motor Vehicles on Road-LCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ambulances (in 000 Nos.),,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,2,2.3,2.7,3.3,3.7,4.3,1.5,1.7,1.7,4.1,4.3,4.4,4.5,4.5,4.6,5.2,5.6,4,4.5,5,3.7,4,4,3.8,5.7,6.9,7.2,8.8,9.1,9.7,10.3,10.7,11.8,
,Buses (in 000 Nos.),,,8,9.2,8.9,9.6,10.3,11.6,13.5,14.4,15.4,18.1,18.9,20.2,21.8,25.3,26.9,25.6,27.4,31,32.9,34.6,36.1,38.6,40.8,43.3,43.3,45,51.7,56.4,60.9,64.5,68.2,72.5,84.4,92.8,86.6,96.6,98.3,100.4,102.4,103.6,108.4,109.9,111.1,123.3,125.6,138.2,130.2,140,148,150.6,156.3,159.2,165.6,193.7,164.7,166.7,168.5,169.7,173,
,Trucks (in 000 Nos.),,,19.6,20.6,19.2,21.3,22.7,23.8,21.3,18.9,21.1,23.8,25.7,28.5,31.2,34.2,36.8,40.1,42.8,49.2,54.4,60.4,66.1,71.7,78.4,82.7,82.7,75.8,84.2,92,98.3,104.2,110.3,117.1,121,127.4,132.3,145.2,146.7,149.2,151.8,151.8,173.3,177.8,181.9,200.5,209.5,230.5,220.5,240,252,263.8,276.2,280,291.2,325.6,313.2,317,320.4,321.9,329.4,
,Tractor (in 000 Nos.),,,1.9,1.7,3.8,3.8,5.5,7.6,9,9.3,12.6,21.6,30,38.2,45.6,68.2,79.4,88.2,106.5,135.7,157,181.1,198.9,217.6,242.5,258.2,258.2,275.3,353,376.6,399.8,424.8,439.8,463.6,489.8,528.4,579.4,630.5,663.2,722.7,778.1,822.3,877.8,900.5,911.7,940.8,970.9,1068,1128.7,1228,1283,1351.6,1430.1,1460.2,1518.6,628,648.1,670.3,689.3,710.2,742.2,
,Tankers (Oil & Water) (in 000 Nos.),,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,5,5.4,5.3,6.5,7.2,8.1,7.5,7.7,8,8.4,8.4,8.6,8.5,8.3,8.8,9.8,10.8,11.1,11.4,12.5,12.3,12.6,12.6,14,14.8,15.2,15.8,24.3,21.1,21.3,21.5,21.5,22.1,
