Sectors,Sub-Sectors-Level1,Sub-Sectors-Level2,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26
,Other Private Services (% of GDP),,5.8,6,6.3,6.3,6.1,5.8,6,5.9,6,6.3,6.5,6.7,6.9,7,7.2,7.4,7.5,7.7,7.8,8.1,8.6,8.5,8.4,8.8,8.8,8.9,
,GDP {Total of GVA at bp} (% of GDP),,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Agriculture Growth Rates (%),,,,-0.09,1.26,3.56,3.09,6.79,1.89,3.48,0.81,3.41,0.31,2.71,3.23,3.14,2.42,1.78,0.41,2.22,3.88,0.94,3.91,3.52,4.21,2.25,6.4,1.53,2.89
,"Crops, Growth Rates (%)",,,-6.7,-3.16,1.4,0.83,12.92,-0.31,5.67,-2.32,3.95,-5.24,2.08,1.25,2.79,1.83,-0.99,-3.86,1.37,4.61,-4.38,6.32,5.83,8.22,-1.17,10.86,-1.01,1.44
,,"Important Crops, Growth Rates (%)",,-10.13,-3.98,5.52,0.4,20.18,-3.2,8.75,-4.88,7.22,-4.6,3.76,7.25,1.45,6.54,-1.92,-5.21,2.68,4.27,-8.59,5.24,5.82,5.5,0.45,17.08,-13.19,0.65
,,"Other Crops, Growth Rates (%)",,-3.24,-2.53,-2.48,1.5,2.73,4.38,2.77,1.63,0.35,-7.5,1.24,-8.78,6,-5.01,-0.63,1.56,-1.24,4.65,3.62,9.21,7.95,11.9,-1.4,0.1,19.74,2.43
,,"Cotton Ginning, Growth Rates (%)",,-2.66,-1.22,-2.41,-0.47,27.98,-5.6,-0.5,-6.55,0.91,5.83,-7.4,14.04,-3.41,-1.27,6.83,-21.69,5.24,8.27,-11.23,-4.06,-13.08,9.22,-22.84,47.23,-18.99,0.07
,"Livestock, Growth Rates (%)",,,5.62,5.17,4.44,4.74,4.66,4.58,2.81,3.91,3.32,4.04,3.98,4.52,3.31,2.86,3.98,2.38,2.89,3.59,3.65,2.8,2.38,2.25,3.7,4.38,2.95,3.75
,"Forestry, Growth Rates (%)",,,7.78,4.79,12.54,4.01,-15.21,-17.85,-10.31,-17.04,-2.91,6.32,-2.32,2.68,6.41,1.4,-13.49,14.86,-2.92,2.24,7.22,3.36,3.35,0.7,17.4,-1.1,2.88,2.02
,"Fishing, Growth Rates (%)",,,-2.96,-12.34,3.45,1.97,0.57,20.86,0.1,8.18,2.72,1.39,-16.91,3.72,0.65,0.92,5.47,3.23,1.22,1.57,0.78,0.63,0.73,0.35,0.6,0.97,1.43,1.66
Industrial Sector Growth Rates (%),,,,6.66,1.85,6.49,17.19,9.02,3.28,7.27,8.78,-4.15,3.95,4.87,2.33,1.16,4.34,5.4,6.01,4.61,9.18,0.25,-5.75,8.2,7.01,-3.88,-0.97,5.56,3.51
,"Mining & Quarrying, Growth Rates (%)",,,6.09,6.68,9.89,20.89,-10.41,4.91,5.45,3.7,-1.04,2.42,-4.04,5.26,1.77,1.02,3.95,5.64,-0.89,7.26,0.54,-7.17,1.72,-6.66,-3.23,-2.43,-3.73,0.38
,"Manufacturing, Growth Rates (%)",,,10.67,4.27,7.41,16.34,15.73,10.44,8.06,6.14,-3.94,1.73,2.61,2.01,5.37,5.76,4.12,4.03,4.87,7.08,4.52,-7.8,10.52,10.86,-5.26,3.03,1.96,6.61
,,"Large Scale, Growth Rates (%)",,11.78,3.74,7.63,18.86,17.93,10.84,8.6,6.02,-6.06,0.52,1.56,0.85,4.81,5.42,3.32,3.12,4.09,6.92,3.53,-11.23,11.5,11.9,-9.84,0.94,-0.69,6.11
,,"Small Scale, Growth Rates (%)",,7.53,7.69,7.5,7.23,6.89,10.19,6.67,8.28,8.6,8.74,8.53,8.04,8.71,8.29,8.21,8.28,8.78,8.82,9.01,1.37,8.98,8.9,9.18,9.05,8.91,8.5
,,"Slaughtering, Growth Rates (%)",,5.21,5.25,5.49,5.16,4.68,6.54,3.78,4.98,5.46,5.4,5.39,5.09,5.95,5.33,5.42,5.8,5.7,5.76,5.89,5.9,6.11,6.29,6.46,6.6,6.44,6.19
,"Electricity, Gas & Water Supply, Growth Rates (%)",,,-3.99,-8.63,1.86,32.55,-3.57,-37.19,-4.31,31.44,-5.69,16.4,49.35,1.42,-21.15,1.34,10.83,7.1,1.41,7.95,5.55,3.53,9.01,4.36,9.65,-18.03,29.6,-10.63
,"Construction, Growth Rates (%)",,,5.79,-0.49,3.89,0.33,20.87,12.33,12.49,13.37,-6.7,7.27,-7.97,2.17,5.4,3.19,8.33,14.37,10.2,19.55,-18.14,-3.08,2.39,1.83,-10.25,-1.13,8.77,5.73
,"Commodity Producing Sector, Growth Rates (%)",,,2.24,1.48,4.62,8.28,7.68,2.45,5.02,4.12,0.14,1.82,3.63,2.85,2.29,3.23,3.32,2.85,3.29,6.29,0.62,-0.58,5.58,5.47,-0.56,3.14,3.24,3.16
Services Sector Growth Rates (%),,,,4.95,3.68,5.66,7.17,8.28,8.53,5.19,4.72,1.84,2.63,2.86,3.48,5.13,3.82,4.2,5.03,5.62,5.95,5,-1.21,5.91,6.69,0.04,2.25,3.14,4.09
,"Wholesale & Retail Trade, Growth Rates (%)",,,4.87,1.77,5.59,10.07,13.07,8.41,5.12,4.48,-2.9,1.15,1.52,1,3.31,4.43,2.34,4.02,6.45,6.76,3.55,-5.26,10.81,10.21,-3.98,3.35,0.48,3.71
,"Transport & Storage, Growth Rates (%)",,,6.09,1.65,5.29,4.46,5.04,5.06,7.95,1.98,6.92,2.83,2.63,1.5,5.21,4.36,5.05,2.82,4.08,3.31,7.63,-8.94,4.87,4.45,3.8,1.65,2.54,2.31
,"Accommodation and Food Services Activities (Hotels & Restaurants), Growth Rates (%)",,,10.02,10.03,10.01,9.97,9.95,10.13,4.79,4.96,4.99,4.99,5,4.85,5,4.92,4.9,4.95,4.02,4.1,4.12,4.08,4.1,4.08,4.09,4.1,4.08,3.94
,"Information and Communication, Growth Rates (%)",,,1.49,2.51,7.07,24.18,26.86,35.35,24.42,30.85,16.35,-1.5,-1.67,16.46,4.96,-1.83,7.91,7.04,10.51,4.19,8.5,13.77,9.84,17.96,-0.61,4.33,7.03,7.52
,"Finance and Insurance Activities, Growth Rates (%)",,,10.84,5.13,6.25,12.09,20.32,15.08,7.88,10.49,-5.43,-6.84,-5.88,-0.64,6.98,3.66,5.44,5.06,8.23,8.76,6.1,-2.22,5.49,6.92,-9.76,-13.14,9.1,0.32
,"Real Estate Activities (OD), Growth Rates (%)",,,3.75,3.5,3.19,3.44,3.37,3.65,3.81,3.9,4.01,4,4.11,3.59,4.41,3.93,4.01,4.71,3.65,3.62,3.7,3.83,3.65,3.69,3.72,3.74,3.76,3.63
,"Public Administration and Social Security (General Government), Growth Rates (%)",,,1.64,6.5,6.2,5.81,5.22,9.54,-1.82,0.45,-10.35,8.32,7.51,12.3,9.97,-8.62,7.83,7.25,6.14,10.93,3.47,3,-0.55,1.81,-7.02,-7,8.6,8.54
,"Education, Growth Rates (%)",,,2.8,8.4,10.22,9.52,3.1,18.42,1.14,7.49,9.33,-0.58,4.36,-0.93,6.15,15.89,-1.68,11,-1.57,3.54,1.96,3.31,-1.2,5.85,5.73,10.06,3.59,5.23
,"Human Health and Social Work Activities, Growth Rates (%)",,,4.44,5.63,7.52,4.98,4.99,10.87,11.12,8,29.54,7.31,1.68,9.97,8.35,5.89,7.1,6.48,12.08,5.69,7.73,6.18,2.9,2.68,9.36,3.34,3.21,6.85
,"Other Private Services, Growth Rates (%)",,,6.07,7.83,5.48,4.35,3.66,8.34,4.24,5.12,6.19,6.37,5.91,5.9,5.64,6.58,5.98,6.58,7.37,7.63,6.17,5,5.06,4.73,4.22,3.64,3.85,3.69
,"GDP {Total of GVA at bp}, Growth Rates (%)",,,3.64,2.62,5.17,7.69,8,5.66,5.11,4.44,1.06,2.26,3.2,3.2,3.86,3.56,3.81,4.07,4.61,6.1,3.12,-0.94,5.77,6.18,-0.21,2.62,3.18,3.7
Agriculture at Current Prices (Rs Million),,,1306700,1365595,1368995,1457957,1674713,1859557,1978348,2226119,2573865,3203919,3745254,4699861,5225561,5936896,6566880,7077924,7306957,7808538,8485078,9056577,10389544,12653889,14882612,19596632,24976111,26201175,28475547
,Crops at Current Prices (Rs Million),,632036,627399,597447,635900,747929,820381,829576,963924,1155583,1517297,1706004,2195438,2051226,2290041,2633471,2547731,2497153,2814824,2997673,3026409,3704256,4720729,5791412,7801117,10495230,9158480,9859889
,,Important at Current Prices Crops (Rs Million),329177,321979,296122,342983,425101,459710,439860,521565,660696,948924,1087320,1429861,1259075,1372518,1674251,1521971,1462455,1665727,1724508,1692431,2015035,2730576,3278811,4598141,6591275,4517528,5079415
,,Other Crops at Current Prices (Rs Million),258904,257175,257530,243160,259922,299297,327948,375466,418897,477732,490934,577373,628689,757992,781644,866448,912388,995393,1096907,1152141,1502853,1798827,2194185,2924717,3429999,4289700,4436521
