chapter_num,chapter_name,chapter_fa,path,name,level,last_year,last_value,first_year,first_value,n_points
12,Health and Nutrition,سلامت و تغذیه,Doctor Consulting Fee in Various Cities > Hyderabad (Rs),Hyderabad (Rs),1,2024-25,391.73,1973-74,20,52
12,Health and Nutrition,سلامت و تغذیه,Doctor Consulting Fee in Various Cities > Islamabad (Rs),Islamabad (Rs),1,2024-25,807.68,1973-74,18.75,51
12,Health and Nutrition,سلامت و تغذیه,Doctor Consulting Fee in Various Cities > Karachi (Rs),Karachi (Rs),1,2024-25,263.36,1973-74,20,52
12,Health and Nutrition,سلامت و تغذیه,Doctor Consulting Fee in Various Cities > Lahore (Rs),Lahore (Rs),1,2024-25,448.89,1973-74,15,52
12,Health and Nutrition,سلامت و تغذیه,Doctor Consulting Fee in Various Cities > Peshawar (Rs),Peshawar (Rs),1,2024-25,1243.83,1973-74,20,52
12,Health and Nutrition,سلامت و تغذیه,Doctor Consulting Fee in Various Cities > Quetta (Rs),Quetta (Rs),1,2024-25,343.4,1973-74,17.5,52
12,Health and Nutrition,سلامت و تغذیه,Doctor Consulting Fee in Various Cities > Rawalpindi (Rs),Rawalpindi (Rs),1,2024-25,691.41,1973-74,20,52
12,Health and Nutrition,سلامت و تغذیه,Doctor Consulting Fee in Various Cities > Sukkur (Rs),Sukkur (Rs),1,2024-25,300,1973-74,16,52
12,Health and Nutrition,سلامت و تغذیه,Doctor Consulting Fee in Various Cities > Pakistan (Rs),Pakistan (Rs),1,2024-25,526.47,1973-74,17.73,52
13,"Population, Labor Force and Employment",جمعیت، نیروی کار و اشتغال,Population (Million),Population (Million),0,2024-25,252.09,1972-73,65.89,52
13,"Population, Labor Force and Employment",جمعیت، نیروی کار و اشتغال,"Population, Male (Million)","Population, Male (Million)",0,2024-25,129.64,1980-81,44.23,36
13,"Population, Labor Force and Employment",جمعیت، نیروی کار و اشتغال,"Population, Female (Million)","Population, Female (Million)",0,2024-25,122.45,1980-81,40.02,36
13,"Population, Labor Force and Employment",جمعیت، نیروی کار و اشتغال,"Population, Rural (Million)","Population, Rural (Million)",0,2022-23,147.61,1980-81,60.41,34
13,"Population, Labor Force and Employment",جمعیت، نیروی کار و اشتغال,"Population, Urban (Million)","Population, Urban (Million)",0,2022-23,93.88,1980-81,23.84,34
13,"Population, Labor Force and Employment",جمعیت، نیروی کار و اشتغال,Crude Birth Rate (per 1000),Crude Birth Rate (per 1000),0,2024-25,25.7,1975-76,42.8,32
13,"Population, Labor Force and Employment",جمعیت، نیروی کار و اشتغال,Crude Death Rate (per 1000),Crude Death Rate (per 1000),0,2023-24,5.69,1975-76,11.5,31
13,"Population, Labor Force and Employment",جمعیت، نیروی کار و اشتغال,Infant Mortality Rate (per 1000),Infant Mortality Rate (per 1000),0,2024-25,47,1975-76,87,32
13,"Population, Labor Force and Employment",جمعیت، نیروی کار و اشتغال,"Population, Growth rate (%)","Population, Growth rate (%)",0,2024-25,2.07,1972-73,3.1,43
13,"Population, Labor Force and Employment",جمعیت، نیروی کار و اشتغال,Population in Punjab (Thousands),Population in Punjab (Thousands),0,2024-25,133364,1980-81,47292,22
13,"Population, Labor Force and Employment",جمعیت، نیروی کار و اشتغال,Population in Sindh (Thousands),Population in Sindh (Thousands),0,2024-25,58271,1980-81,19029,22
13,"Population, Labor Force and Employment",جمعیت، نیروی کار و اشتغال,Population in Khyber Pakhtunkhwa (Thousands),Population in Khyber Pakhtunkhwa (Thousands),0,2024-25,42677,1980-81,11061,22
13,"Population, Labor Force and Employment",جمعیت، نیروی کار و اشتغال,Population in Balochistan (Thousands),Population in Balochistan (Thousands),0,2024-25,15215,1980-81,4332,22
13,"Population, Labor Force and Employment",جمعیت، نیروی کار و اشتغال,Population in FATA (Thousands),Population in FATA (Thousands),0,2015-16,4927,1980-81,2199,13
